nom,sexe,date_de_naissance,region,ethnie,langue,religion,parti_politique
Joseph Kwasi Mensah,N/A,"Sunday, 18th November, 1962",Manso,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Joseph Nikpe Bukari,N/A,"Friday, 3rd October, 1969",Saboba,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Joseph  Azumah,N/A,"Friday, 15th April, 1988",Zebilla,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Joseph  Frempong,N/A,"Wednesday, 16th July, 1969","Obo Kwahu, Eastern Region",N/A,N/A,Chrétien,New Patriotic Party (NPP)
Joseph Kwame Kumah,N/A,"Thursday, 24th January, 1974",Sugliboi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Joycelyn  Quashie,N/A,"Sunday, 10th January, 1988",Tsyome Sabadu,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kennedy Nyarko Osei,N/A,"Monday, 2nd April, 1979",Akim Swedru,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kingsley  Nyarko,N/A,"Sunday, 10th June, 1973",Obo Kwahu,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kingsley  Agyemang,N/A,"Saturday, 24th November, 1979",Asiakwa,N/A,N/A,,New Patriotic Party (NPP)
Kofi Iddie Adams,N/A,"Friday, 2nd May, 1975",Teteman,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kofi Ahenkorah Marfo,N/A,"Friday, 26th April, 1968",Akim Bieni,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kofi  Amankwa-Manu,N/A,"Friday, 11th April, 1969",Atwima Foase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kofi Benteh Afful,N/A,"Sunday, 24th February, 1980",SEFWI BOAKO,N/A,N/A,,National Democratic Congress (NDC)
Kofi Arko  Nokoe,N/A,"Friday, 13th May, 1983",Axim,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kojo Oppong Nkrumah,N/A,"Monday, 5th April, 1982",Akim Anyinase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Korkor Laurette Asante,N/A,"Monday, 12th November, 1962",Kwabeng,N/A,N/A,Presbyterian,New Patriotic Party (NPP)
Kwabena Mintah Akandoh,N/A,"Thursday, 19th June, 1980",Sefwi Antobia,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kwabena Okyere Darko-Mensah,N/A,"Tuesday, 18th June, 1974",Ahwiankwanta,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwabena  Boateng,N/A,"Saturday, 26th September, 1987",Ejisu-Onwe,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwadwo  Damoah,N/A,"Monday, 12th October, 1959",Kwameseikrom,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwaku Agyeman Kwarteng,N/A,"Wednesday, 12th February, 1969","Kokofu, Ashanti",N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwaku  Asante-Boateng,N/A,"Thursday, 27th April, 1961","Bompata, Asante Akim",N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwaku  Ampratwum-Sarpong,N/A,"Wednesday, 8th January, 1958",Mampong,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwame Dzudzorli Gakpey,N/A,"Saturday, 28th June, 1975",Anlo-Afiadenyigba,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kwame Governs Agbodza,N/A,"Saturday, 22nd September, 1973",Adaklu Kordiabe,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kwame Twumasi Ampofo,N/A,"Monday, 3rd June, 1968",Kwame Danso,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kwame  Anyimadu-Antwi,N/A,"Thursday, 12th April, 1962",Patriensa,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwame Appiah Kodua,N/A,"Saturday, 14th December, 1974","Obomeng-Kwahu, E/R",N/A,N/A,Chrétien,New Patriotic Party (NPP)
Kwamena Minta Nyarku,N/A,"Saturday, 7th December, 1974","Apewosika, Cape Coast",N/A,N/A,Chrétien,National Democratic Congress (NDC)
Kweku  Addo,N/A,"Wednesday, 23rd August, 1967",Akwamufie,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Laadi Ayii Ayamba,N/A,"Monday, 25th December, 1961",Pusiga,N/A,N/A,Musulman,National Democratic Congress (NDC)
Lawrence  Agyinsam,N/A,"Tuesday, 30th August, 1966",Jukwa,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Lawrencia  Dziwornu,N/A,"Sunday, 10th May, 1987",Akuapem South,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Linda Obenewaa Akweley Ocloo,N/A,"Wednesday, 21st February, 1979",Anyaa-Abasa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Lydia Lamisi Akanvariba,N/A,"Sunday, 7th October, 1973",Tempane,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Mark Kurt Nawaane,N/A,"Thursday, 21st April, 1966",Kongo-Nangodi,N/A,N/A,Chrétien(Catholic),National Democratic Congress (NDC)
Martin Adjei-Mensah Korsah,N/A,"Wednesday, 12th April, 1978",Techiman,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Matthew  Nyindam,N/A,"Monday, 1st December, 1975",KUMDI,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Mavis  Nkansah-Boadu,N/A,"Wednesday, 17th May, 1989",Wiamoase,N/A,N/A,Christain,New Patriotic Party (NPP)
Mavis Kuukua Bissue,N/A,"Wednesday, 11th March, 1981",Dixcove,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Maxwell Kwame Lukutor,N/A,"Saturday, 16th March, 1974",Tefle,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Michael Baafi Okyere,N/A,"Friday, 12th March, 1976",Koforidua,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Michael Kwasi Aidoo,N/A,"Sunday, 8th September, 1985",Wassa Akropong,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Millicent Yeboah Amankwah,N/A,"Wednesday, 22nd July, 1992",Odumasi-Sunyani,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Misbahu Mahama Adams,N/A,"Monday, 15th September, 1980",Sang,N/A,N/A,Musulman,National Democratic Congress (NDC)
Mohammed Adamu Ramadan,N/A,"Saturday, 3rd May, 1975",Ashalley Botwe,N/A,N/A,Musulman,National Democratic Congress (NDC)
Mohammed Mubarak Muntaka,N/A,"Sunday, 17th October, 1971",KUMASI,N/A,N/A,Musulman,National Democratic Congress (NDC)
Mohammed Adams Sukparu,N/A,"Sunday, 6th January, 1985",Buoti,N/A,N/A,Musulman,National Democratic Congress (NDC)
Mohammed Issah Bataglia,N/A,"Monday, 20th November, 1978",Bugubelle,N/A,N/A,Musulman,National Democratic Congress (NDC)
Mohammed Amin  Adam,N/A,"Monday, 15th April, 1974",Karaga,N/A,N/A,Musulman,New Patriotic Party (NPP)
Mustapha  Ussif,N/A,"Thursday, 16th August, 1979",Tantaala,N/A,N/A,Musulman,New Patriotic Party (NPP)
Nana Ayew Afriye,N/A,"Sunday, 22nd January, 1978",Effiduase Ashanti,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Nana Agyei Baffour Awuah,N/A,"Tuesday, 27th July, 1982",Achiase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Nana  Osei-Adjei,N/A,"Sunday, 2nd February, 1975",Jumapo,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Nana Ampaw Kwame Addo-Frempong,N/A,"Saturday, 5th November, 1983",Kukurantumi,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Naser Toure Mahama,N/A,"Wednesday, 17th March, 1965",Kue,N/A,N/A,Musulman,National Democratic Congress (NDC)
Nasira Afrah Gyekye,N/A,"Saturday, 10th June, 1989",Drobonso,N/A,N/A,Musulman,National Democratic Congress (NDC)
Nelson Kofi Djabab,N/A,"Sunday, 24th February, 1974",Pai- Katanga,N/A,N/A,Chrétien,National Democratic Congress (NDC)
